fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
160121.1000000015;1689.66;0.30000000074505806;41.94;53.09;1675.98;0;0;102688;97668.74772294005
161121.6000000015;1701.15;0.10000000149011612;43.73;53.09;1734.10;0;0;101664;97666.4823920965
162121.80000000075;1662.67;0.30000000074505806;42.27;53.09;1724.14;0;0;92032;97669.21453594771
163122.30000000075;1702.15;0.30000000074505806;44.05;53.09;1714.29;0;0;94240;97655.56735128675
164122.5;1706.66;0.4000000022351742;42.64;53.09;1744.19;0;0;94208;97642.56298648492
165122.5;1695.00;0.30000000074505806;41.21;53.09;1724.14;0;0;101760;97631.58088640883
166122.80000000075;1698.49;0.19999999925494194;42.99;53.09;1818.18;0;0;103264;97624.56557826426
167123.30000000075;1702.15;0.3999999985098839;41.57;53.09;1754.39;0;0;94368;97622.4204777292
168123.5;1675.66;0.29999999701976776;43.33;53.09;1657.46;0;0;95040;97614.46161210274
169124;1690.15;0.4000000022351742;41.90;53.09;1764.71;0;0;104288;97617.1687869378
170124.40000000224;1669.33;0.20000000298023224;41.18;53.09;1764.71;0;0;92384;97626.91349050263
171124.6000000015;1708.66;0.19999999925494194;42.97;53.09;1724.14;0;0;96160;97624.80257362039
172124.90000000224;1673.50;0.30000000074505806;41.53;53.09;1714.29;0;0;102304;97608.14632766276
173125.19999999925;1707.49;0.10000000149011612;43.31;53.09;1639.34;0;0;93152;97594.55220905633
174125.6000000015;1696.32;0.20000000298023224;41.89;53.09;1666.67;0;0;91680;97587.40089476756
175125.80000000075;1714.66;0.30000000074505806;43.68;53.09;1734.10;0;0;93600;97576.703962873
176125.80000000075;1713.00;0.10000000149011612;42.28;53.09;1694.92;0;0;91680;97572.05882352941
177126.30000000075;1699.15;0.20000000298023224;44.06;53.09;1675.98;0;0;92864;97561.71864734762
178126.6000000015;1695.49;0.19999999925494194;42.64;53.09;1639.34;0;0;96352;97563.22913375539
179126.69999999925;1699.83;0.3999999985098839;41.22;53.09;1704.55;0;0;94144;97556.24789796882
180127.40000000224;1688.82;0.19999999925494194;42.99;53.09;1724.14;0;0;94112;97548.72897657214
181127.40000000224;1693.00;0.30000000074505806;42.17;53.09;1666.67;0;0;104448;97543.73699884383
182127.80000000075;1672.33;0.30000000074505806;43.92;53.09;1754.39;0;0;95200;97547.80543554007
183127.90000000224;1702.83;0.30000000074505806;42.50;53.09;1694.92;0;0;95232;97551.77512155124
184128.30000000075;1712.32;0.30000000074505806;41.09;53.09;1675.98;0;0;92160;97546.59157258851
185128.30000000075;1699.00;0.30000000074505806;42.86;53.09;1764.71;0;0;94208;97546.19140406382
186128.40000000224;1692.83;0.30000000074505806;41.43;53.09;1714.29;0;0;95488;97541.48654512409
187128.69999999925;1708.49;0.19999999925494194;43.22;53.09;1685.39;0;0;104128;97540.53775854863
188129.40000000224;1707.80;0.3999999985098839;41.82;53.09;1744.19;0;0;94208;97524.63108225011
189129.80000000075;1693.32;0.20000000298023224;43.59;53.09;1694.92;0;0;91776;97527.15902386699
190130.30000000075;1708.15;0.30000000074505806;42.18;53.09;1744.19;0;0;93792;97520.06507968261
191130.69999999925;1674.33;0.5;41.48;53.09;1724.14;0;0;92256;97513.0172878808
192130.80000000075;1667.83;0.3999999985098839;43.23;53.09;1714.29;0;0;94592;97511.60765339785
193131;1698.66;0.30000000074505806;41.80;53.09;1666.67;0;0;102400;97510.4107808928
194131.1000000015;1696.83;0.30000000074505806;43.58;53.09;1694.92;0;0;103808;97497.81525772298
